title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,job_url
Software Engineer Graduate (Video-on-Demand Algorithm) - 2027 Start,TikTok,"San Jose, California, United States",2026-08-25,H-1B Sponsor,ByteDance,no,Software,"128,000-316,800 USD/annual",https://lifeattiktok.com/search/7670282906426476853
"Software Engineering Intern, PhD, Summer 2027",Google,"Mountain View, California, United States",2026-08-25,H-1B Sponsor,Google,no,Software,"118,000-157,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/91436104816698054-software-engineering-intern-phd-summer-2027
"Software Engineer, Infrastructure Services (Cloud Network Fault Tolerance)",Apple,"California, United States",2026-08-25,H-1B Sponsor,Apple,no,"Software, Infrastructure","184,700-324,800 USD/annual",https://jobs.apple.com/en-us/details/200679765-3401/software-engineer-infrastructure-services-cloud-network-fault-tolerance?team=SFTWR
"Software Development Engineer, Security Platform",Amazon,"Seattle, Washington, United States",2026-08-25,H-1B Sponsor,Amazon,no,"Software, Platform","143,700-223,600 USD/annual",https://amazon.jobs/en/jobs/10510816/software-development-engineer-security-platform
Agentic AI Full Stack Software Engineer III- Python/React,JPMorgan Chase,"Jersey City, New Jersey, United States",2026-08-25,H-1B Sponsor,J.P. Morgan,no,"Software, Full Stack, AI","137,750-185,000 USD/annual",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210773477
Software Engineer II,Uber,"Seattle, Washington, United States",2026-08-25,H-1B Sponsor,Uber,no,Software,"171,000-209,000 USD/annual",https://jobs.uber.com/en/jobs/301204/
"Software Engineer, Infrastructure, PhD, Early Career, 2027 Start",Google,"Sunnyvale, California, United States",2026-08-25,H-1B Sponsor,Google,no,"Software, Infrastructure","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/84680705375642310-software-engineer-infrastructure-phd-early-career-2027-start
"Software Development Engineer, Amazon WorkSpaces",Amazon,"Seattle, Washington, United States",2026-08-25,H-1B Sponsor,Amazon,no,Software,"143,700-194,400 USD/annual",https://amazon.jobs/en/jobs/10512990/software-development-engineer-amazon-workspaces
Software Engineer I,Uber,"San Francisco, California, United States",2026-08-25,H-1B Sponsor,Uber,no,Software,"153,000-169,000 USD/annual",https://jobs.uber.com/en/jobs/301203/
"Software Engineer III, Infrastructure, Platforms Infrastructure Engineering",Google,"Sunnyvale, California, United States",2026-08-25,H-1B Sponsor,Google,no,"Software, Infrastructure","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/141492603370513094-software-engineer-iii-infrastructure-platforms-infrastructure-engineering
"Software Development Engineer, S3 Glacier",Amazon,"Seattle, Washington, United States",2026-08-25,H-1B Sponsor,Amazon,no,Software,"143,700-194,400 USD/annual",https://amazon.jobs/en/jobs/10512552/software-development-engineer-s3-glacier
Software Engineer II,Uber,"Sunnyvale, California, United States",2026-08-25,H-1B Sponsor,Uber,no,Software,"171,000-209,000 USD/annual",https://jobs.uber.com/en/jobs/301197/
"Software Engineer, AI/Machine Learning, PhD, Early Career, 2027 Start",Google,"Sunnyvale, California, United States",2026-08-25,H-1B Sponsor,Google,no,"Software, AI, Machine Learning","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/123087196289671878-software-engineer-aimachine-learning-phd-early-career-2027-start
Software Engineer II,Uber,"Seattle, Washington, United States",2026-08-25,H-1B Sponsor,Uber,no,Software,"204,500-209,000 USD/annual",https://jobs.uber.com/en/jobs/301217/
"Software Engineer, ML Accelerators, DeepMind",Google,"Mountain View, California, United States",2026-08-25,H-1B Sponsor,Google,no,Software,"174,000-252,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/120715549708559046-software-engineer-ml-accelerators-deepmind
"Software Engineer III, AI/ML, Platforms and Devices",Google,"Seattle, Washington, United States",2026-08-25,H-1B Sponsor,Google,no,"Software, AI","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/89641152084353734-software-engineer-iii-aiml-platforms-and-devices
"Software Engineer III, Generative AI, Core",Google,"San Jose, California, United States",2026-08-25,H-1B Sponsor,Google,no,"Software, AI","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/86191709230113478-software-engineer-iii-generative-ai-core
"Software Engineer III, Connectivity, Android microXR",Google,"San Jose, California, United States",2026-08-25,H-1B Sponsor,Google,no,Software,"147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/107920258018222790-software-engineer-iii-connectivity-android-microxr
"Software Engineer III, Infrastructure, Google Cloud Compute",Google,"Kirkland, Washington, United States",2026-08-25,H-1B Sponsor,Google,no,"Software, Infrastructure","147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/80567157498225350-software-engineer-iii-infrastructure-google-cloud-compute
"Software Engineer III, Security/Privacy, Google Cloud Security and Privacy",Google,"Seattle, Washington, United States",2026-08-25,H-1B Sponsor,Google,no,Software,"147,000-210,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/128082827370472134-software-engineer-iii-securityprivacy-google-cloud-security-and-privacy
"AI/ML Accelerator Modeling Engineer, Silicon",Google,"Mountain View, California, United States",2026-08-25,H-1B Sponsor,Google,no,AI,"138,000-197,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/123815554023596742-aiml-accelerator-modeling-engineer-silicon
"Research Scientist, Optical Engineering Neutral Atoms, Quantum AI",Google,"Boulder, Colorado, United States",2026-08-25,H-1B Sponsor,Google,no,AI,"174,000-252,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/80664283888657094-research-scientist-optical-engineering-neutral-atoms-quantum-ai
Machine Learning Engineer Intern (E-Commerce Governance)- 2027 Start (PhD),TikTok,"Seattle, Washington, United States",2026-08-25,H-1B Sponsor,ByteDance,no,Machine Learning,57-57 USD/hourly,https://lifeattiktok.com/search/7674029136531015941
Machine Learning Engineer Graduate (E-Commerce Risk Control)- 2027 Start (PhD),ByteDance,"Seattle, Washington, United States",2026-08-25,H-1B Sponsor,ByteDance,no,Machine Learning,"153,900-300,960 USD/annual",https://joinbytedance.com/search/7675472998912051461
"SoC Test Infrastructure Engineer, Google Cloud",Google,"Sunnyvale, California, United States",2026-08-25,H-1B Sponsor,Google,no,Infrastructure,"138,000-197,000 USD/annual",https://www.google.com/about/careers/applications/jobs/results/132981907586458310-soc-test-infrastructure-engineer-google-cloud
"Human-Robot Interaction, Applied Scientist , Fauna",Amazon,"New York, New York, United States",2026-08-25,H-1B Sponsor,Amazon,no,Applied Scientist,"172,400-223,400 USD/annual",https://amazon.jobs/en/jobs/10513094/human-robot-interaction-applied-scientist-fauna
Software Engineer II,Waystar,"Atlanta, Georgia, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://careers.waystar.com/atlanta-ga/software-engineer-ii/4A8FCD824DA24229A586B1EC81BE19B1/job/
Full Stack Software Engineer,State Farm,"Bloomington, Illinois, United States",2026-08-24,H-1B Sponsor,,no,"Software, Full Stack","85,500-100,000 USD/annual",https://jobs.statefarm.com/main/jobs/45914?lang=en-us
"Engineer I, Software",Schneider Electric,"San Leandro, California, United States",2026-08-24,H-1B Sponsor,,no,Software,"68,000-102,000 USD/annual",https://careers.se.com/jobs/131322?lang=en-us&previousLocale=en-US
"Intern: Software Engineer, Product Development (Summer 2027)",Mine Safety Appliances,"Cranberry Township, Pennsylvania, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://careers.msasafety.com/jobs/9993?lang=en-us&previousLocale=en-US
Software Engineer 3,PayPal,"San Jose, California, United States",2026-08-24,H-1B Sponsor,,no,Software,"169,576-243,500 USD/annual",https://paypal.eightfold.ai/careers/job/274922009779?domain=paypal.com&triggerGoButton=false
Software Engineering Evaluation Specialist,Mindrift,"Colorado, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://apply.workable.com/toloka-ai/j/581F0E6D41/
Full Stack Software Engineer,Atlassian,"San Francisco, California, United States",2026-08-24,H-1B Sponsor,,no,"Software, Full Stack","124,749-196,225 USD/annual",https://www.atlassian.com/company/careers/details/25561
Software Engineer II – Java and AWS,Chewy,"Boston, Massachusetts, United States",2026-08-24,H-1B Sponsor,,no,Software,,https://careers.chewy.com/us/en/job/R30683/Software-Engineer-II-Java-and-AWS
