tier,match_score,score_source,company,title,location,posted_date,recency_bucket,date_confidence,resume_profile_used,referral_name,recommended_action,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,official_url,source,source_url
A,94.0,llm,Makai Labs,AI Engineer,"Raleigh, NC, US",2026-09-09,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-0ba749fcbbbf21e1,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=0ba749fcbbbf21e1
A,93.0,llm,MetLife,Junior Software Engineer,"Cary, NC, US",2026-09-09,newly_discovered,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-ef2bebe73a4f3cec,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=ef2bebe73a4f3cec
A,92.0,llm,GE Vernova,AI Engineer,"Greenville, SC, US",2026-09-09,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-4df4b455cb4162c0,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=4df4b455cb4162c0
A,91.0,llm,Draftwise,"Forward Deployed AI Engineer, Backend - New York","New York, NY",2026-09-10,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::linkedin::4463905834,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-ai-engineer-backend-new-york-at-draftwise-4463905834
A,91.0,llm,Draftwise,"Forward Deployed AI Engineer, Backend - West Palm Beach","West Palm Beach, FL",2026-09-10,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::linkedin::4463914427,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-ai-engineer-backend-west-palm-beach-at-draftwise-4463914427
A,91.0,llm,Zoom Communications,Software Development Engineer,"San Jose, CA, US",2026-09-09,newly_discovered,low,resume_ai,,referral_now,unreviewed,pending_official_refresh,board,id::indeed::in-2a76c2d82f6e3440,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=2a76c2d82f6e3440
A,90.0,llm,MaxIT Consulting - Max Corporate Group,Forward Deployed AI Engineer – Agent Systems,"San Francisco, CA, US",2026-09-09,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-3eb7068218a26f09,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=3eb7068218a26f09
A,89.0,llm,General Motors (GM),"ML Systems Engineer, Data Labeling Engineering - Early Career","Sunnyvale, CA, US",2026-09-08,newly_discovered,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-e31d61345c1c8234,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=e31d61345c1c8234
A,89.0,llm,"Woongjin, Inc",Jr. AI Developer- Bilingual (Korean/ English),"Plano, TX, US",2026-09-10,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-20fd6b227bbfafd2,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=20fd6b227bbfafd2
A,88.0,llm,,Full Stack Engineer,"Austin, TX, US",2026-09-09,newly_discovered,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,url::https://www.addvaluemachine.com/job-post/full-stack-engineer,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,https://www.addvaluemachine.com/job-post/full-stack-engineer,indeed,https://www.indeed.com/viewjob?jk=7974f0b5608c58e0
