tier,match_score,score_source,company,title,location,posted_date,recency_bucket,date_confidence,resume_profile_used,referral_name,recommended_action,official_url,source,source_url
B,75.0,llm,GitLab,"Intermediate Backend Engineer, Platform Readiness","Remote, Canada; Remote, United States",2026-08-28,3to24h,medium,resume_swe,,apply_if_time,https://job-boards.greenhouse.io/gitlab/jobs/8644569002,greenhouse,https://job-boards.greenhouse.io/gitlab/jobs/8644569002
B,75.0,cached_llm,Pinterest,"Machine Learning Engineer II, Responsible AI","San Francisco, CA, US; Remote, US",2026-08-27,1to3d,medium,resume_ai,,apply_if_time,https://www.pinterestcareers.com/jobs/?gh_jid=8162046,greenhouse,https://www.pinterestcareers.com/jobs/?gh_jid=8162046
B,70.0,cached_llm,Databricks,"Solutions Architect - Communications, Media, Entertainment and Games",Northeast - United States,2026-08-27,1to3d,medium,resume_ai,Databricks,apply_now,https://databricks.com/company/careers/open-positions/job?gh_jid=8755474002,greenhouse,https://databricks.com/company/careers/open-positions/job?gh_jid=8755474002
B,68.0,cached_llm,Databricks,Solutions Architect - Strat Media,West Coast - United States,2026-08-27,1to3d,medium,resume_ai,Databricks,apply_now,https://databricks.com/company/careers/open-positions/job?gh_jid=8755461002,greenhouse,https://databricks.com/company/careers/open-positions/job?gh_jid=8755461002
B,65.0,cached_llm,Anthropic,"Applied AI Architect, Strategic Enterprise Tech","San Francisco, CA | New York City, NY | Seattle, WA",2026-08-27,1to3d,medium,resume_ai,,skip,https://job-boards.greenhouse.io/anthropic/jobs/5409008008,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5409008008
B,55.0,cached_llm,Figma,"IT Engineer, Internal AI Infrastructure","San Francisco, CA • New York, NY • United States",2026-08-27,1to3d,medium,resume_ai,,skip,https://boards.greenhouse.io/figma/jobs/6164379004?gh_jid=6164379004,greenhouse,https://boards.greenhouse.io/figma/jobs/6164379004?gh_jid=6164379004
A,85.0,cached_llm,Benchling,"Software Engineer, Platform (Developer Experience)","San Francisco, CA",2026-08-25,1to3d,low,resume_swe,,apply_now,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-platform-developer-experience-at-benchling-4459048634
B,75.0,cached_llm,Adobe,Software Development Engineer,"Seattle, WA",2026-08-25,1to3d,low,resume_swe,Adobe,apply_now,,linkedin,https://www.linkedin.com/jobs/view/software-development-engineer-at-adobe-4446291451
B,75.0,cached_llm,JPMorganChase,Software Engineer [Multiple Positions Available],"Jersey City, NJ",2026-08-26,1to3d,low,resume_swe,J.P. Morgan,apply_now,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-multiple-positions-available-at-jpmorganchase-4459100438
B,75.0,cached_llm,Tata Consultancy Services,ML Engineer,"Conroe, TX",2026-08-25,1to3d,low,resume_ai,,apply_if_time,,linkedin,https://www.linkedin.com/jobs/view/ml-engineer-at-tata-consultancy-services-4457653321
B,75.0,cached_llm,Tata Consultancy Services,Machine Learning Engineer,"Sunrise, FL",2026-08-25,1to3d,low,resume_ai,,apply_if_time,,linkedin,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-tata-consultancy-services-4439446153
B,75.0,cached_llm,Value Innovation Labs,AI/ML Engineer,"Sunnyvale, CA",2026-08-25,1to3d,low,resume_ai,,apply_if_time,,linkedin,https://www.linkedin.com/jobs/view/ai-ml-engineer-at-value-innovation-labs-4457606581
B,75.0,cached_llm,CoffeeSpace,Backend Software Engineer ($175K–$225K + Equity) Building AI Solutions for Construction,"New York, United States",2026-08-25,1to3d,low,resume_ai,,apply_if_time,,linkedin,https://www.linkedin.com/jobs/view/backend-software-engineer-%24175k%E2%80%93%24225k-%2B-equity-building-ai-solutions-for-construction-at-coffeespace-4457491732
B,75.0,cached_llm,Trace3,Software Engineer | AI & Automation,"Dallas, TX",2026-08-25,1to3d,low,resume_ai,,apply_if_time,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-ai-automation-at-trace3-4457640945
B,70.0,cached_llm,Adobe,Machine Learning Engineer,"San Jose, CA",2026-08-25,1to3d,low,resume_ai,Adobe,apply_now,,linkedin,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-adobe-4439806534
B,70.0,cached_llm,Adobe,"Software Development Engineer, Influencer Management","San Jose, CA",2026-08-25,1to3d,low,resume_swe,Adobe,apply_now,,linkedin,https://www.linkedin.com/jobs/view/software-development-engineer-influencer-management-at-adobe-4390999740
B,70.0,cached_llm,Uber,Software Engineer II,"Seattle, WA",2026-08-25,1to3d,low,resume_swe,Uber,apply_now,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-ii-at-uber-4458598844
B,70.0,cached_llm,Uber,Software Engineer II,"Sunnyvale, CA",2026-08-25,1to3d,low,resume_swe,Uber,apply_now,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-ii-at-uber-4458711205
