tier,match_score,score_source,company,title,location,posted_date,recency_bucket,date_confidence,resume_profile_used,referral_name,recommended_action,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,official_url,source,source_url
B,75.0,rule_fallback,Cryptic Vector,Full Stack Developer,"Cincinnati, OH",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4416960972,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-developer-at-cryptic-vector-4416960972
B,75.0,rule_fallback,Highland Homes,Full Stack Developer,"Plano, TX",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4462863425,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-developer-at-highland-homes-4462863425
B,75.0,rule_fallback,IBM,"Entry level Backend Developer - San Jose, CA - 2027","San Jose, CA",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4460752391,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/entry-level-backend-developer-san-jose-ca-2027-at-ibm-4460752391
B,75.0,rule_fallback,NIKSUN,Full Stack Developer,"Princeton, NJ",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4461699949,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-developer-at-niksun-4461699949
B,75.0,rule_fallback,PwC,Forward Deployed Software Engineering - Experienced Associate,"New York, NY",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4453645948,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-software-engineering-experienced-associate-at-pwc-4453645948
B,75.0,rule_fallback,Sherwin-Williams,Associate Full Stack Application Developer - Industrial Automation,"Cleveland, OH",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4462867156,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/associate-full-stack-application-developer-industrial-automation-at-sherwin-williams-4462867156
B,75.0,rule_fallback,Superhuman,"Software Engineer, Developer Experience (Full-Stack)","San Francisco, CA",2026-09-04,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4460766912,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-developer-experience-full-stack-at-superhuman-4460766912
B,75.0,rule_fallback,Torc Robotics,"Software Engineer, I - Data Engineering","Blacksburg, VA",2026-09-04,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4461934843,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-i-data-engineering-at-torc-robotics-4461934843
B,75.0,rule_fallback,VSolvit,SOFTWARE DEVELOPER (FULL STACK),"Norco, CA",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4403805595,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/software-developer-full-stack-at-vsolvit-4403805595
B,75.0,rule_fallback,CarParts.com,Full Stack Developer / AI Focused,"Long Beach, CA",2026-09-04,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4461106713,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-developer-ai-focused-at-carparts-com-4461106713
B,75.0,rule_fallback,NewRocket,Forward Deployed AI Engineer-Anthropic-US East,"New York, NY",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4462855924,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-ai-engineer-anthropic-us-east-at-newrocket-4462855924
B,75.0,rule_fallback,NewRocket,Forward Deployed AI Engineer-Anthropic-US East,"New Brunswick, NJ",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4462864083,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-ai-engineer-anthropic-us-east-at-newrocket-4462864083
B,75.0,rule_fallback,PENNYMAC,Full Stack Developer (AI Native),"Westlake Village, TX",2026-09-03,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4450416056,,,2026-09-04T18:17:54.473458+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-developer-ai-native-at-pennymac-4450416056
