title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,tier,match_score,fit_score,score_source,screen_method,resume_profile_used,role_family,seniority_fit,main_gaps,recommended_action,recommended_resume,first_seen,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,source_pipeline,job_url
Entry Level Software Developer-Tucson-AZ,IBM,"Tucson, Arizona, United States",2026-09-21,No sponsor,,no,Software,"91,600-137,400 USD/annual",A,94.0,94.0,llm,llm,resume_swe,swe,good,[],apply_now,SWE,2026-09-22T15:11:15.170210+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::f641477a05086674a1054989c4d9327a,,2026-09-22T00:34:29.700322+00:00,2026-09-22T15:11:15.170210+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=133804&source=WEB_Search_NA
Generative AI Engineer / QA Engineer,Equifax,"Atlanta, Georgia, United States",2026-09-21,No sponsor,,no,AI,,A,86.0,86.0,llm,llm,resume_swe,ambiguous,good,[],skip,SWE,2026-09-22T15:11:15.170210+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::9e4f075a62a130653aa727e4b9a574e1,,2026-09-22T00:34:29.700322+00:00,2026-09-22T15:11:15.170210+00:00,syncareer,https://careers.equifax.com/en/jobs/j00178092/generative-ai-engineer-qa-engineer/
AI Engineer II - Enterprise Architecture,American Express,"Phoenix, Arizona, United States",2026-09-21,Likely,,no,AI,"89,250-150,250 USD/annual",A,92.0,92.0,llm,llm,resume_ai,ai,good,[],apply_now,AI-FDE,2026-09-22T15:11:15.170210+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::85c91003a2b522695db70163170d0f57,,2026-09-22T00:34:29.700322+00:00,2026-09-22T15:11:15.170210+00:00,syncareer,https://careers.americanexpress.com/en/sites/CX_1/job/26013923/?intlink=us-amex-career-en-us-navigation-jobs&lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000229164
"Entry Level Site Reliability Engineering Professional - Austin, TX - 2027",IBM,"Austin, Texas, United States",2026-09-21,No sponsor,,no,Site Reliability,"100,800-151,200 USD/annual",A,88.0,88.0,llm,llm,resume_swe,swe,good,['network device administration'],apply_if_time,SWE,2026-09-22T15:11:15.170210+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::a0fe1a02f9c5fc3c0a2ce75c2a7b7e98,,2026-09-22T00:34:29.700322+00:00,2026-09-22T15:11:15.170210+00:00,syncareer,https://careers.ibm.com/en_US/careers/JobDetail?jobId=132819&source=WEB_Search_NA
AI Agentic Workflow Reviewer,Innodata,"San Jose, California, United States",2026-09-20,Sponsor,,no,AI,50-55 USD/hourly,B,72.0,72.0,cached_llm,cached_llm,resume_ai,ai,good,['QA/trust-safety review experience'],apply_if_time,AI-FDE,2026-09-21T15:11:14.342699+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::e5ba175e9214cef4c04c40d88355306d,,2026-09-22T00:34:29.700322+00:00,2026-09-21T15:11:14.342699+00:00,syncareer,https://job-boards.greenhouse.io/innodatainc/jobs/4412191009
Data Engineer,Michelin,"Greenville, South Carolina, United States",2026-09-18,Sponsor,,no,Data Engineer,,A,90.0,90.0,cached_llm,cached_llm,resume_swe,swe,good,[],apply_now,,2026-09-20T00:11:10.523041+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::bc4067f6dc76648ffb372ee49aedb35f,,2026-09-22T00:34:29.700322+00:00,2026-09-20T00:11:10.523041+00:00,syncareer,https://michelinhr.wd3.myworkdayjobs.com/en-US/Michelin/job/GREENVILLE-SC/Data-Engineer_R-2026032949?Location_Country=bc33aa3152ec42d4995f4791a106ed09&Location_Country=a30a87ed25634629aa6c3958aa2b91ea&Location_Country=d903bb3fedad45039383f6de334ad4db&Location_Country=29247e57dbaf46fb855b224e03170bc7&Location_Country=80938777cac5440fab50d729f9634969
Engineer I-Software Development,Microchip Technology,"Houston, Texas, United States",2026-09-18,Sponsor,,no,Software,,B,73.0,73.0,cached_llm,cached_llm,resume_swe,swe,good,['2+ years C++ experience'],apply_if_time,,2026-09-20T00:11:10.523041+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::969e84314ac4afc5d9c902b3668885fd,,2026-09-22T00:34:29.700322+00:00,2026-09-20T00:11:10.523041+00:00,syncareer,https://wd5.myworkdaysite.com/en-US/recruiting/microchiphr/External/job/TX---Houston---Compaq-Center-Dr/Engineer-I-Software-Development_R3962-26?locationCountry=80938777cac5440fab50d729f9634969&locationCountry=29247e57dbaf46fb855b224e03170bc7&locationCountry=a4e08b475d6a4176853c9d1cb9854e02&locationCountry=6cb77610a8a543aea2d6bc10457e35d4&locationCountry=d4afdeb461d446e4babd204bd102dba8&locationCountry=bc33aa3152ec42d4995f4791a106ed09&locationCountry=a30a87ed25634629aa6c3958aa2b91ea
Software Engineer Intern,Keysight,"Santa Rosa, California, United States",2026-09-18,No sponsor,,no,Software,,B,88.0,88.0,cached_llm,cached_llm,resume_swe,swe,good,[],apply_if_time,,2026-09-20T00:11:10.523041+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::88cb7ee147cff9bb63c0e3f12c104a83,,2026-09-22T00:34:29.700322+00:00,2026-09-20T00:11:10.523041+00:00,syncareer,https://jobs.keysight.com/external/jobs/54329?lang=en-us
"Software Engineer, Data Platform",Twitch,"San Francisco, California, United States",2026-09-18,Sponsor,,no,"Software, Platform","127,100-185,000 USD/annual",B,82.0,82.0,cached_llm,cached_llm,resume_swe,swe,good,[],apply_if_time,,2026-09-20T00:11:10.523041+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::85ea3a2529db017cd9e25a3121fd700d,,2026-09-22T00:34:29.700322+00:00,2026-09-20T00:11:10.523041+00:00,syncareer,https://job-boards.greenhouse.io/twitch/jobs/8817023002
Forward Deployed Engineer,Koch,"Atlanta, Georgia, United States",2026-09-18,No sponsor,,no,Forward Deployed,,B,86.0,86.0,cached_llm,cached_llm,resume_swe,ambiguous,good,[],apply_if_time,,2026-09-20T00:11:10.523041+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::7af90834685c064de4281336a43e93e1,,2026-09-22T00:34:29.700322+00:00,2026-09-20T00:11:10.523041+00:00,syncareer,https://koch.avature.net/en_US/careers/JobDetail/United-States-Forward-Deployed-Engineer/194728
Entry Level C++ Software Engineer,Wolverine Trading,"Chicago, Illinois, United States",2026-09-18,Sponsor,,no,Software,"80,000-120,000 USD/annual",A,85.0,85.0,cached_llm,cached_llm,resume_swe,swe,good,[],apply_now,,2026-09-20T00:11:10.523041+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::75be920060ad031b845e32bba3847484,,2026-09-22T00:34:29.700322+00:00,2026-09-20T00:11:10.523041+00:00,syncareer,https://careers.wolve.com/en/postings/2b2e514b-4709-4897-960d-77909fe33ab8
"Software Engineer, Data Platform",Twitch,"Seattle, Washington, United States",2026-09-18,Sponsor,,no,"Software, Platform","110,500-160,000 USD/annual",B,82.0,82.0,cached_llm,cached_llm,resume_swe,swe,good,[],apply_if_time,,2026-09-20T00:11:10.523041+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::621b57341b294e06a1623658ae8eecc6,,2026-09-22T00:34:29.700322+00:00,2026-09-20T00:11:10.523041+00:00,syncareer,https://job-boards.greenhouse.io/twitch/jobs/8821382002
Software DevOps Engineer - Grad,Thales,"Orlando, Florida, United States",2026-09-18,No sponsor,,no,"Software, DevOps","86,365-143,942 USD/annual",A,90.0,90.0,cached_llm,cached_llm,resume_swe,swe,good,[],apply_now,,2026-09-20T00:11:10.523041+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::228d4b71a7a3537ee6abe0747c83b4a7,,2026-09-22T00:34:29.700322+00:00,2026-09-20T00:11:10.523041+00:00,syncareer,https://careers.thalesgroup.com/global/en/job/R0340353/Software-DevOps-Engineer-Grad
