title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,tier,fit_score,recommended_resume,first_seen,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,source_pipeline,job_url
"Software Engineer III, Infra, Core Communications",Google,"San Jose, California, United States",2026-08-28,H-1B Sponsor,Google,no,Software,"147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::29bb469affb293506fa9431a6742a4c5,url::https://www.google.com/about/careers/applications/jobs/results/75489138207269574-software-engineer-iii-infra-core-communications,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/75489138207269574-software-engineer-iii-infra-core-communications
"Software Engineer (Java Middleware), eBusiness",Apple,"Sunnyvale, California, United States",2026-08-28,H-1B Sponsor,Apple,no,Software,"150,400-225,300 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::06b1b173f3b9859d6369ed8ce085cdae,url::https://jobs.apple.com/en-us/details/200678154/software-engineer-java-middleware-ebusiness,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.apple.com/en-us/details/200678154-3956/software-engineer-java-middleware-ebusiness?team=SFTWR
Software Developer 3,Oracle,"Austin, Texas, United States",2026-08-28,H-1B Sponsor,Oracle,no,Software,"89,200-209,500 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::72a166c8847e92a981b7ccd9e4e037c6,url::https://eeho.fa.us2.oraclecloud.com/hcmui/candidateexperience/en/sites/jobsearch/job/344130,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://careers.oracle.com/en/sites/jobsearch/job/344130/?lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000149325%253B300000000106863
"Full-Stack Software Engineer III (Python, React, Playwright)",JPMorgan Chase,"Jersey City, New Jersey, United States",2026-08-28,H-1B Sponsor,J.P. Morgan,no,"Software, Full Stack","137,750-185,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::8c8b8357bc83e6e94124d745e588460f,url::https://jpmc.fa.oraclecloud.com/hcmui/candidateexperience/en/sites/cx_1001/job/210781698,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210781698
Product Software Engineer II (News Front End),The Walt Disney Company,"New York, New York, United States",2026-08-28,H-1B Sponsor,Disney,no,Software,"123,000-165,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::8c660355482cfc5bd41aaf60c9be1a42,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.disneycareers.com/job/new-york/product-software-engineer-ii-news-front-end/391/99856977312
Software Engineer II,Microsoft,"Redmond, Washington, United States",2026-08-28,H-1B Sponsor,Microsoft,no,Software,"102,100-202,200 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::d27e2f78fc5d79e6a8f1b48f1ce8ba45,url::https://apply.careers.microsoft.com/careers/job/1970393556980947,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://apply.careers.microsoft.com/careers/job/1970393556980947
Software Engineer - TikTok Search Engine,TikTok,"San Jose, California, United States",2026-08-28,H-1B Sponsor,ByteDance,no,Software,"162,000-387,600 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::51f0166ff2195f64e992b1076150702a,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://lifeattiktok.com/search/7674029284265838853
Robotics - Software Development Engineer Fall Intern/Co-op - 2026,Amazon,"Austin, Texas, United States",2026-08-28,H-1B Sponsor,Amazon,no,Software,"110,500-160,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::e87e113304a9a5d0ea50b2c7382c746f,url::https://www.amazon.jobs/en/jobs/10517149/robotics-software-development-engineer-fall-intern-co-op-2026,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://amazon.jobs/en/jobs/10517149/robotics-software-development-engineer-fall-intern-co-op-2026
Embedded Software Engineer,Qualcomm,"San Diego, California, United States",2026-08-28,H-1B Sponsor,Qualcomm,no,Software,"103,600-155,400 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::6df799d6fdc2ee4ec78076135357a1f5,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://careers.qualcomm.com/careers/job/446720765005?domain=qualcomm.com&triggerGoButton=false
"Software Engineer, Systems & ML Infrastructure - MSL FAIR Foundations",Meta,"Menlo Park, California, United States",2026-08-28,H-1B Sponsor,Meta,no,"Software, Infrastructure","154,003-217,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::32fb2644d9681a8e628fc9f4ed8b130b,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.metacareers.com/profile/job_details/1061625146845555
