title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,tier,match_score,fit_score,score_source,screen_method,resume_profile_used,role_family,seniority_fit,main_gaps,recommended_action,recommended_resume,first_seen,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,source_pipeline,job_url
"Software Engineer, New Grad",IXL Learning,"Raleigh-Durham, North Carolina, United States",2026-09-01,Sponsor,,no,"Software, New Grad","110,000-135,000 USD/annual",A,92.0,92.0,cached_llm,cached_llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-02T18:36:04.486690+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::c719dd267de1fb78d59a66d96afe7b67,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://www.ixl.com/company/jobs?gh_jid=8765745002
Junior Software Developer,Fortinet,"Santa Clara, California, United States",2026-09-01,Sponsor,,no,Software,"101,000-124,000 USD/annual",A,91.0,91.0,llm,llm,resume_ai,ai,good,[],referral_now,AI-FDE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::d8a3a9dece44a643934a916c66cdb43d,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://edel.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/22744/?lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000361862%253B300000000361286
Associate Software Engineer,MPLX,"San Antonio, Texas, United States",2026-09-01,Sponsor,,no,Software,,A,91.0,91.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::c37877129efbad393665c7c28b76c46d,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://mpc.wd1.myworkdayjobs.com/en-US/MPCCareers/job/San-Antonio-Texas/Associate-Software-Engineer_00023623
"Software Engineer, New Grad",IXL Learning,"San Mateo, California, United States",2026-09-01,Sponsor,,no,"Software, New Grad","110,000-135,000 USD/annual",A,91.0,91.0,cached_llm,cached_llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-02T18:36:04.486690+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::85a2e2a74e7954b1df4bdbabfe15eb00,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://www.ixl.com/company/jobs?gh_jid=8765715002
"Assoc Engineer, Software",T-Mobile,"Frisco, Texas, United States",2026-09-01,Sponsor,,no,Software,"66,900-120,600 USD/annual",A,88.0,88.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::febf75c8f35721249acf5aea30f1a0da,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://careers.t-mobile.com/assoc-engineer-software/job/5B4998A0A0EDDF4C35A2681667A0D915
AI Engineer,OneStream Software,"Birmingham, Michigan, United States",2026-09-01,Sponsor,,no,"Software, AI","95,000-133,000 USD/annual",A,87.0,87.0,llm,llm,resume_ai,ai,good,[],referral_now,AI-FDE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::f0abb727eb212ad5a51ae5335d784c8e,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://recruiting.ultipro.com/ONE1018ONSO/JobBoard/1955ffa6-bda6-4c95-8412-2c731d693ab2/OpportunityDetail?opportunityId=c01bedfb-595e-448d-877f-3d65d5c81d37
Top Graduate Software Engineer - RTP,VAST Data,"North Carolina, United States",2026-09-01,Sponsor,,no,Software,,A,86.0,86.0,llm,llm,resume_swe,swe,good,[],referral_now,SWE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::74d1b2b44ef88601b5f52f0d916ce984,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://www.comeet.com/jobs/vastdata/43.001/top-graduate-software-engineer---rtp/F1.261
Applied AI Engineer I – Supply Chain,Motorola Solutions,"Chicago, Illinois, United States",2026-09-01,Sponsor,,no,AI,"58,500-85,200 USD/annual",B,92.0,92.0,llm,llm,resume_ai,ai,good,"['No clear supply-chain, ERP, warehouse, or logistics domain experience.']",referral_now,AI-FDE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::da38c0a7398dccdf3c75697d2c3affb4,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/job/Chicago-IL/Applied-AI-Engineer-I---Supply-Chain_R67371
"Software Engineer, Intern",IXL Learning,"San Mateo, California, United States",2026-09-01,Sponsor,,no,Software,29-46 USD/hourly,B,88.0,88.0,cached_llm,cached_llm,resume_swe,swe,good,[],apply_now,SWE,2026-09-02T18:36:04.486690+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::0f9331fbf714418e37b946aff1d27155,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://www.ixl.com/company/jobs?gh_jid=8765770002
"software engineer- ST, Nashville TN",Starbucks,"Nashville, Tennessee, United States",2026-09-01,Sponsor,,no,Software,,B,84.0,84.0,llm,llm,resume_swe,swe,good,['Limited direct evidence of systems or network administration and formal on-call incident-response ownership.'],referral_now,SWE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::4859fd4ec6246fbd26d851e5415cb4a8,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://apply.starbucks.com/careers/job/481078166214
"Software Engineer, Android AI",Google,"Mountain View, California, United States",2026-09-01,Sponsor,Google,no,"Software, AI","147,000-210,000 USD/annual",B,83.0,83.0,cached_llm,cached_llm,resume_ai,ai,good,['Direct Android development and on-device model optimization experience are not clearly evidenced.'],apply_now,AI-FDE,2026-09-02T18:36:04.486690+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::d6397e2f86c3a6f27ec8f5ebd841db13,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/141767845158494918-software-engineer-android-ai
AI Engineer I,American Express,"Palo Alto, California, United States",2026-09-01,Sponsor,,yes,AI,"78,000-124,750 USD/annual",B,82.0,82.0,llm,llm,resume_ai,ai,good,['The stated preferred 2027-campus graduation timing is not clearly met by the May 2026 M.S. completion date'],apply_now,AI-FDE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::a9c7881050882aa662167feb60685ada,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://careers.americanexpress.com/en/sites/CX_1/job/26013256/?intlink=us-amex-career-en-us-navigation-jobs&lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000229164
"Campus Graduate Masters Full-Time Engineer - 2027 AI Engineer I, Enterprise Technology Services- Atlanta, GA",American Express,"Atlanta, Georgia, United States",2026-09-01,Sponsor,,yes,AI,"78,000-124,750 USD/annual",B,82.0,82.0,llm,llm,resume_ai,ai,good,['The stated preferred 2027-campus graduation timing is not clearly met by the May 2026 M.S. completion date'],apply_now,AI-FDE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::ca27f921f9447a2b80d928c96670632a,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://careers.americanexpress.com/en/sites/CX_1/job/26013258/?intlink=us-amex-career-en-us-navigation-jobs&lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000229164
Software Engineer 2,Garmin,"Olathe, Kansas, United States",2026-09-01,Sponsor,,no,Software,,B,74.0,74.0,llm,llm,resume_swe,swe,good,"['The resume lists C++ but provides limited project evidence of building moderately complex software primarily in C/C++.', 'No direct evidence using emulators, logic analyzers, or consumer-device software tooling.']",apply_now,SWE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::db392590c1a94f850a9aabd0c4f915b1,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://careers.garmin.com/jobs/19310?lang=en-us&previousLocale=en-US
"Campus Undergraduate Full-Time Engineer - 2027 AI Engineer I, Enterprise Technology Services- Atlanta, GA",American Express,"Atlanta, Georgia, United States",2026-09-01,Sponsor,,yes,AI,"78,000-124,750 USD/annual",B,72.0,72.0,llm,llm,resume_ai,ai,good,"['Campus undergraduate and 2027 graduation-program eligibility is not clearly supported by the listed degree timeline', 'Role requires U.S. work authorization without sponsorship, which is not established in the supplied resumes']",apply_if_time,AI-FDE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::e63742d4aa86bcfe2c542ed305ecf9e8,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://careers.americanexpress.com/en/sites/CX_1/job/26013252/?intlink=us-amex-career-en-us-navigation-jobs&lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000229164
"Campus Undergraduate Full-Time Engineer - 2027 AI Engineer I, Enterprise Technology Services- Palo Alto, CA",American Express,"Palo Alto, California, United States",2026-09-01,Sponsor,,yes,AI,"78,000-124,750 USD/annual",B,72.0,72.0,llm,llm,resume_ai,ai,good,"['Campus undergraduate and 2027 graduation-program eligibility is not clearly supported by the listed degree timeline', 'Role requires U.S. work authorization without sponsorship, which is not established in the supplied resumes']",apply_if_time,AI-FDE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::f69f74b7b4858fb4040b105372bcc0d5,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://careers.americanexpress.com/en/sites/CX_1/job/26013253/?intlink=us-amex-career-en-us-navigation-jobs&lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000229164
"Campus Undergraduate Full-Time Engineer - 2027 AI Engineer I, Enterprise Technology Services- Phoenix, AZ",American Express,"Phoenix, Arizona, United States",2026-09-01,Sponsor,,yes,AI,"78,000-124,750 USD/annual",B,72.0,72.0,llm,llm,resume_ai,ai,good,"['Campus undergraduate and 2027 graduation-program eligibility is not clearly supported by the listed degree timeline', 'Role requires U.S. work authorization without sponsorship, which is not established in the supplied resumes']",apply_if_time,AI-FDE,2026-09-02T18:36:04.486690+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::e1a631f76152513abc42b2e6eb77aa85,,,2026-09-02T18:36:04.486690+00:00,syncareer,https://careers.americanexpress.com/en/sites/CX_1/job/26013254/?intlink=us-amex-career-en-us-navigation-jobs&lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000229164
